"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2016","414.25","415.50","420.75","410.50","106.94K","-2.30%"
"07/07/2016","424.00","437.50","441.25","411.50","126.85K","0.24%"
"07/06/2016","423.00","427.00","438.50","420.50","86.33K","-0.24%"
"07/05/2016","424.00","440.50","440.50","421.75","94.44K","-3.96%"
"07/04/2016","441.50","448.75","449.75","440.00","73.85K","0.57%"
"07/01/2016","439.00","442.25","449.00","435.50","103.72K","-1.62%"
"06/30/2016","446.25","452.50","453.50","438.50","86.00K","-1.65%"
"06/29/2016","453.75","441.75","457.25","440.25","81.33K","4.91%"
"06/28/2016","432.50","429.25","441.25","428.50","59.41K","1.94%"
"06/27/2016","424.25","436.25","440.25","422.25","63.33K","-3.14%"
"06/24/2016","438.00","452.75","454.00","428.25","90.65K","-3.20%"
"06/23/2016","452.50","449.50","456.25","447.00","50.43K","0.56%"
"06/22/2016","450.00","455.75","458.25","442.25","53.53K","0.28%"
"06/21/2016","448.75","454.50","455.75","443.00","48.08K","-0.94%"
"06/20/2016","453.00","444.75","455.75","443.50","41.13K","4.02%"
"06/17/2016","435.50","425.00","444.50","425.00","38.01K","2.11%"
"06/16/2016","426.50","437.25","439.25","422.25","46.66K","-3.94%"
"06/15/2016","444.00","441.00","447.75","436.25","65.93K","-0.50%"
"06/14/2016","446.25","447.75","449.50","442.50","44.67K","-1.82%"
"06/13/2016","454.50","452.50","455.25","445.25","42.37K","0.66%"
"06/10/2016","451.50","460.50","462.00","448.75","85.25K","-1.95%"
"06/09/2016","460.50","470.50","470.50","458.00","105.38K","-0.86%"
"06/08/2016","464.50","457.25","469.75","456.75","107.04K","1.75%"
"06/07/2016","456.50","446.50","458.50","445.25","82.59K","2.41%"
"06/06/2016","445.75","444.50","448.75","442.50","81.65K","0.56%"
"06/03/2016","443.25","448.25","450.75","440.25","73.56K","-1.45%"
"06/02/2016","449.75","447.00","454.75","441.25","113.16K","1.24%"
"06/01/2016","444.25","444.75","448.50","436.50","64.04K","-2.09%"
"05/31/2016","453.75","452.75","455.25","443.75","67.00K","0.28%"
"05/30/2016","452.50","447.00","453.75","441.75","18.66K","0.78%"
"05/27/2016","449.00","446.25","450.00","440.25","55.36K","0.06%"
"05/26/2016","448.75","451.75","454.50","444.00","73.01K","0.22%"
"05/25/2016","447.75","449.75","454.00","445.75","82.82K","0.00%"
"05/24/2016","447.75","440.50","451.25","435.50","83.13K","1.82%"
"05/23/2016","439.75","443.25","443.50","434.50","65.91K","-0.40%"
"05/20/2016","441.50","437.25","443.75","435.50","93.28K","2.50%"
"05/19/2016","430.75","440.00","440.75","428.00","90.51K","-3.09%"
"05/18/2016","444.50","441.00","447.75","434.25","116.25K","1.48%"
"05/17/2016","438.00","434.00","442.25","431.25","77.92K","1.45%"
"05/16/2016","431.75","421.75","437.50","421.50","81.15K","2.49%"
"05/13/2016","421.25","419.00","423.00","414.25","65.55K","2.49%"
"05/12/2016","411.00","416.50","419.75","408.25","94.18K","-0.72%"
"05/11/2016","414.00","400.50","418.25","394.25","131.51K","4.88%"
"05/10/2016","394.75","381.75","400.75","380.25","86.65K","3.14%"
"05/09/2016","382.75","400.25","405.75","380.75","100.64K","-4.73%"
"05/06/2016","401.75","396.00","404.25","388.25","85.85K","0.37%"
"05/05/2016","400.25","399.75","410.75","392.50","82.23K","1.14%"
"05/04/2016","395.75","401.50","406.00","391.50","74.71K","0.06%"
"05/03/2016","395.50","404.25","409.00","394.25","70.31K","-3.89%"
"05/02/2016","411.50","412.00","415.50","403.00","34.90K","-0.60%"
"04/29/2016","414.00","418.50","422.75","409.50","90.39K","-0.60%"
"04/28/2016","416.50","412.50","420.75","410.25","57.13K","3.16%"
"04/27/2016","403.75","404.00","414.00","400.75","82.24K","1.19%"
"04/26/2016","399.00","391.00","405.00","387.50","64.24K","1.08%"
"04/25/2016","394.75","393.75","398.25","387.25","65.17K","-0.75%"
"04/22/2016","397.75","393.50","402.00","390.75","68.86K","0.70%"
"04/21/2016","395.00","397.25","402.50","389.75","76.08K","1.61%"
"04/20/2016","388.75","376.50","400.25","371.00","69.88K","2.10%"
"04/19/2016","380.75","374.25","385.00","369.75","87.79K","2.21%"
"04/18/2016","372.50","361.00","377.25","349.75","113.08K","1.15%"
"04/15/2016","368.25","378.00","379.00","362.00","84.45K","-3.28%"
"04/14/2016","380.75","378.00","384.50","374.00","42.09K","-0.07%"
"04/13/2016","381.00","381.75","386.75","376.75","86.45K","1.33%"
"04/12/2016","376.00","360.00","381.00","358.50","115.83K","3.80%"
"04/11/2016","362.25","355.75","364.25","351.25","93.28K","1.26%"
"04/08/2016","357.75","336.75","358.25","336.00","108.86K","9.24%"
"04/07/2016","327.50","339.75","344.50","326.75","85.25K","-1.80%"
"04/06/2016","333.50","322.50","339.75","321.50","77.56K","4.38%"
"04/05/2016","319.50","323.25","324.25","317.00","88.45K","-3.98%"
"04/04/2016","332.75","337.75","341.00","322.75","76.31K","-1.92%"
"04/01/2016","339.25","355.00","356.75","337.75","67.13K","-5.37%"
"03/31/2016","358.50","349.00","359.75","347.75","60.81K","0.99%"
"03/30/2016","355.00","353.00","362.75","349.50","59.94K","2.68%"
"03/29/2016","345.75","357.50","358.00","344.75","70.72K","-2.95%"
"03/28/2016","356.25","364.00","366.75","354.00","25.86K","-2.20%"
"03/24/2016","364.25","362.75","366.25","355.25","63.82K","-0.82%"
"03/23/2016","367.25","375.75","376.50","363.25","68.11K","-2.72%"
"03/22/2016","377.50","373.50","380.00","369.75","50.76K","1.00%"
"03/21/2016","373.75","376.75","379.25","368.25","58.03K","-1.12%"
"03/18/2016","378.00","376.50","384.00","373.50","50.08K","-0.07%"
"03/17/2016","378.25","371.75","379.25","369.75","49.61K","2.65%"
"03/16/2016","368.50","357.75","371.00","355.25","55.73K","4.10%"
"03/15/2016","354.00","363.00","363.50","351.00","50.89K","-1.53%"
"03/14/2016","359.50","368.25","369.50","355.00","61.42K","-3.03%"
"03/11/2016","370.75","370.00","375.50","367.25","55.46K","2.56%"
"03/10/2016","361.50","369.00","369.25","361.25","92.80K","-1.70%"
"03/09/2016","367.75","362.00","371.75","360.00","113.18K","1.03%"
"03/08/2016","364.00","367.75","374.00","358.75","119.35K","1.04%"
"03/07/2016","360.25","348.75","369.25","347.00","125.92K","5.34%"
"03/04/2016","342.00","334.50","348.50","332.25","85.30K","2.01%"
"03/03/2016","335.25","332.75","338.25","330.00","81.52K","-0.30%"
"03/02/2016","336.25","328.25","338.00","325.75","103.99K","2.36%"
"03/01/2016","328.50","327.50","334.25","324.50","66.81K","-0.45%"
"02/29/2016","330.00","318.25","331.75","317.25","68.87K","-0.23%"
"02/26/2016","330.75","321.25","336.00","317.50","79.70K","5.67%"
"02/25/2016","313.00","318.00","326.00","309.00","76.73K","1.46%"
"02/24/2016","308.50","307.50","321.50","304.00","80.15K","0.00%"
"02/23/2016","308.50","319.25","325.50","307.50","78.92K","-4.56%"
"02/22/2016","323.25","310.75","325.50","309.75","85.27K","3.11%"
"02/19/2016","313.50","322.50","326.25","308.50","61.21K","-4.06%"
"02/18/2016","326.75","332.25","336.50","322.50","56.97K","0.08%"
"02/17/2016","326.50","310.75","331.00","305.25","77.84K","4.90%"
"02/16/2016","311.25","325.50","333.00","307.50","58.74K","-2.20%"
"02/15/2016","318.25","319.00","322.00","313.75","29.75K","0.32%"
"02/12/2016","317.25","301.25","319.25","300.25","60.27K","11.12%"
"02/11/2016","285.50","285.50","297.25","281.00","106.10K","0.09%"
"02/10/2016","285.25","288.25","294.00","283.00","111.26K","-3.63%"
"02/09/2016","296.00","307.25","309.75","283.50","93.48K","-5.36%"
"02/08/2016","312.75","311.00","316.75","304.50","68.79K","-0.32%"
"02/05/2016","313.75","317.00","319.25","308.50","81.24K","-1.72%"
"02/04/2016","319.25","321.25","328.50","312.75","100.18K","2.49%"
"02/03/2016","311.50","295.25","322.75","294.00","120.21K","4.09%"
"02/02/2016","299.25","305.25","306.25","290.00","96.78K","-2.68%"
"02/01/2016","307.50","318.00","321.25","303.00","81.58K","-1.44%"
"01/29/2016","312.00","313.75","320.50","307.50","102.87K","-0.87%"
"01/28/2016","314.75","302.75","329.50","301.75","120.23K","5.18%"
"01/27/2016","299.25","288.00","307.75","284.50","85.46K","3.10%"
"01/26/2016","290.25","277.00","296.75","269.75","112.89K","2.20%"
"01/25/2016","284.00","299.25","303.25","276.75","103.68K","-2.24%"
"01/22/2016","290.50","272.00","299.50","269.75","101.30K","9.01%"
"01/21/2016","266.50","259.75","277.25","253.00","65.95K","4.51%"
"01/20/2016","255.00","273.00","273.00","254.25","66.49K","-8.27%"
"01/19/2016","278.00","278.75","287.75","272.50","74.02K","-0.54%"
"01/18/2016","279.50","282.00","286.75","273.50","34.71K","-2.27%"
"01/15/2016","286.00","296.50","296.50","281.50","53.10K","-1.89%"
"01/14/2016","291.50","293.25","299.25","289.00","60.69K","-1.27%"
"01/13/2016","295.25","301.00","306.00","291.75","67.61K","0.94%"
"01/12/2016","292.50","297.50","306.25","290.50","98.15K","-2.26%"
"01/11/2016","299.25","311.00","311.00","296.50","130.39K","-2.44%"
"01/08/2016","306.75","319.75","323.00","306.25","101.73K","-5.62%"
"01/07/2016","325.00","323.75","325.75","307.25","119.18K","0.62%"
"01/06/2016","323.00","336.75","338.00","318.50","117.25K","-4.08%"
"01/05/2016","336.75","337.75","342.75","334.00","93.59K","0.07%"
"01/04/2016","336.50","342.25","354.25","334.50","87.06K","0.67%"
"12/31/2015","334.25","337.00","348.00","331.75","40.28K","-1.40%"
"12/30/2015","339.00","345.00","346.00","335.50","39.11K","-2.80%"
"12/29/2015","348.75","338.25","352.00","338.25","49.93K","1.60%"
"12/28/2015","343.25","346.75","347.25","337.25","25.52K","-1.15%"
"12/24/2015","347.25","348.50","351.00","341.00","29.88K","0.80%"
"12/23/2015","344.50","340.50","351.25","339.00","56.57K","0.66%"
"12/22/2015","342.25","338.75","344.25","337.00","37.97K","1.41%"
"12/21/2015","337.50","341.75","344.75","336.00","43.72K","-3.91%"
"12/18/2015","351.25","341.00","353.75","338.50","49.38K","1.74%"
"12/17/2015","345.25","346.00","352.25","341.00","61.66K","-0.65%"
"12/16/2015","347.50","353.50","357.50","343.50","65.76K","-2.52%"
"12/15/2015","356.50","346.25","366.50","343.25","68.22K","3.94%"
"12/14/2015","343.00","354.00","356.00","335.50","61.19K","-3.11%"
"12/11/2015","354.00","372.25","372.75","350.25","68.60K","-3.01%"
"12/10/2015","365.00","373.00","374.50","362.00","103.34K","-2.14%"
"12/09/2015","373.00","377.50","382.25","366.00","121.13K","-1.26%"
"12/08/2015","377.75","382.25","383.75","371.00","108.63K","-0.98%"
"12/07/2015","381.50","402.75","403.75","379.50","116.12K","-5.22%"
"12/04/2015","402.50","409.00","414.25","397.25","85.54K","0.19%"
"12/03/2015","401.75","395.25","415.50","394.00","143.71K","0.31%"
"12/02/2015","400.50","408.25","411.75","391.50","136.86K","-2.14%"
"12/01/2015","409.25","413.25","418.50","406.25","124.14K","-3.93%"
"11/30/2015","426.00","422.25","431.00","412.00","92.96K","0.41%"
"11/27/2015","424.25","430.25","430.50","421.50","49.45K","-0.64%"
"11/26/2015","427.00","435.50","437.25","425.25","56.93K","-1.39%"
"11/25/2015","433.00","436.50","439.25","428.50","72.67K","-1.14%"
"11/24/2015","438.00","432.00","440.25","429.75","99.16K","0.52%"
"11/23/2015","435.75","426.00","437.50","420.50","108.42K","1.87%"
"11/20/2015","427.75","429.75","435.25","425.75","80.93K","-0.52%"
"11/19/2015","430.00","429.25","434.25","426.00","67.42K","0.82%"
"11/18/2015","426.50","427.00","434.25","423.00","64.98K","-0.29%"
"11/17/2015","427.75","427.75","435.00","423.25","54.82K","1.78%"
"11/16/2015","420.25","429.75","433.75","419.25","57.77K","-2.49%"
"11/13/2015","431.00","434.75","441.50","427.00","57.65K","-0.06%"
"11/12/2015","431.25","442.50","446.50","430.00","102.15K","-2.21%"
"11/11/2015","441.00","448.50","455.25","440.00","107.65K","-2.60%"
"11/10/2015","452.75","450.00","456.00","446.25","89.79K","0.39%"
"11/09/2015","451.00","455.25","462.25","449.00","96.89K","-0.39%"
"11/06/2015","452.75","452.00","460.25","450.50","103.93K","-0.60%"
"11/05/2015","455.50","461.00","461.50","451.75","93.84K","-1.03%"
"11/04/2015","460.25","473.75","479.25","457.00","128.06K","-1.97%"
"11/03/2015","469.50","459.75","479.00","457.00","109.91K","2.51%"
"11/02/2015","458.00","459.00","464.50","455.00","66.05K","-0.43%"
"10/30/2015","460.00","453.75","465.50","452.00","65.32K","0.27%"
"10/29/2015","458.75","457.75","460.50","450.75","96.57K","0.22%"
"10/28/2015","457.75","437.75","458.75","437.25","93.11K","4.69%"
"10/27/2015","437.25","440.00","442.75","434.00","81.14K","-2.07%"
"10/26/2015","446.50","447.25","451.00","439.75","67.48K","-0.67%"
"10/23/2015","449.50","453.75","457.00","446.50","85.54K","0.00%"
"10/22/2015","449.50","447.00","456.00","447.00","66.14K","0.00%"
"10/21/2015","449.50","448.00","451.50","443.75","64.75K","0.06%"
"10/20/2015","449.25","454.00","454.00","446.00","88.30K","-0.83%"
"10/19/2015","453.00","467.25","467.25","450.75","53.11K","-1.95%"
"10/16/2015","462.00","464.00","468.25","458.50","42.16K","1.43%"
"10/15/2015","455.50","459.75","465.50","453.50","87.15K","-1.09%"
"10/14/2015","460.50","460.00","464.25","457.00","72.67K","-0.65%"
"10/13/2015","463.50","471.00","474.00","456.75","134.22K","-2.68%"
"10/12/2015","476.25","486.00","492.75","461.00","134.56K","-2.11%"
"10/09/2015","486.50","492.75","499.50","483.25","124.65K","0.05%"
"10/08/2015","486.25","488.00","493.00","479.25","125.18K","-0.51%"
"10/07/2015","488.75","493.25","499.00","482.50","145.04K","-0.31%"
"10/06/2015","490.25","473.75","494.25","470.00","124.24K","2.56%"
"10/05/2015","478.00","465.00","478.50","463.00","86.48K","4.82%"
"10/02/2015","456.00","465.50","470.50","455.25","105.77K","-2.82%"
"10/01/2015","469.25","470.00","481.00","463.25","129.95K","0.48%"
"09/30/2015","467.00","464.75","472.25","463.25","78.77K","-0.21%"
"09/29/2015","468.00","458.75","471.00","458.50","58.89K","1.85%"
"09/28/2015","459.50","468.75","469.25","458.25","69.63K","-2.18%"
"09/25/2015","469.75","469.00","477.00","465.75","86.37K","0.37%"
"09/24/2015","468.00","467.00","471.75","463.00","83.44K","-1.84%"
"09/23/2015","476.75","472.25","486.00","465.00","85.19K","2.80%"
"09/22/2015","463.75","467.25","474.75","460.75","70.53K","-0.96%"
"09/21/2015","468.25","462.75","472.00","462.25","40.02K","0.32%"
"09/18/2015","466.75","473.75","479.75","459.75","61.79K","-1.06%"
"09/17/2015","471.75","480.75","481.50","468.25","64.97K","-1.87%"
"09/16/2015","480.75","465.25","483.50","463.25","64.95K","4.28%"
"09/15/2015","461.00","466.00","468.00","460.25","62.70K","-1.44%"
"09/14/2015","467.75","476.25","478.50","463.75","48.72K","-1.78%"
"09/11/2015","476.25","483.00","485.25","470.00","59.16K","-0.16%"
"09/10/2015","477.00","468.50","482.00","464.75","105.36K","0.00%"
"09/09/2015","477.00","486.75","489.50","469.00","137.01K","-1.75%"
"09/08/2015","485.50","478.75","488.75","473.75","110.37K","2.32%"
"09/07/2015","474.50","486.00","486.00","472.25","45.52K","-3.06%"
"09/04/2015","489.50","497.50","497.50","484.25","83.36K","-2.15%"
"09/03/2015","500.25","491.25","506.50","485.75","95.30K","4.93%"
"09/02/2015","476.75","473.50","495.00","470.75","119.80K","-2.10%"
"09/01/2015","487.00","510.50","511.00","473.50","110.87K","-0.81%"
"08/31/2015","491.00","488.00","519.25","472.00","99.74K","1.81%"
"08/28/2015","482.25","465.50","492.75","456.25","95.46K","7.05%"
"08/27/2015","450.50","432.25","464.75","432.00","103.50K","4.71%"
"08/26/2015","430.25","431.25","434.00","426.00","84.84K","-1.15%"
"08/25/2015","435.25","432.75","442.50","428.50","84.37K","0.52%"
"08/24/2015","433.00","452.50","452.50","425.50","82.17K","-3.24%"
"08/21/2015","447.50","458.50","459.00","446.25","50.25K","-3.82%"
"08/20/2015","465.25","465.00","466.50","456.25","80.80K","-0.37%"
"08/19/2015","467.00","473.75","480.00","462.25","58.80K","-1.74%"
"08/18/2015","475.25","472.50","479.75","472.00","34.27K","-0.99%"
"08/17/2015","480.00","475.50","482.50","472.50","44.02K","0.21%"
"08/14/2015","479.00","480.00","483.50","475.75","49.21K","-0.26%"
"08/13/2015","480.25","489.25","492.00","479.25","54.53K","0.52%"
"08/12/2015","477.75","477.25","486.25","472.50","104.59K","1.38%"
"08/11/2015","471.25","485.50","491.25","470.75","112.68K","-2.13%"
"08/10/2015","481.50","468.75","488.75","468.50","102.04K","2.39%"
"08/07/2015","470.25","473.25","477.00","469.25","85.18K","0.53%"
"08/06/2015","467.75","474.25","475.25","467.25","105.62K","-1.73%"
"08/05/2015","476.00","477.00","481.75","466.50","97.09K","0.00%"
"08/04/2015","476.00","473.50","481.00","472.50","87.54K","-0.21%"
"08/03/2015","477.00","485.00","487.75","470.50","93.73K","-3.15%"
"07/31/2015","492.50","495.50","497.00","485.50","75.45K","-1.01%"
"07/30/2015","497.50","493.25","502.00","492.75","58.86K","-0.40%"
"07/29/2015","499.50","491.00","500.50","487.00","75.73K","0.10%"
"07/28/2015","499.00","488.25","501.00","484.00","98.31K","0.96%"
"07/27/2015","494.25","503.25","504.00","488.00","57.63K","-1.98%"
"07/24/2015","504.25","510.75","511.25","500.75","56.21K","-1.94%"
"07/23/2015","514.25","514.00","517.25","506.75","59.07K","-0.82%"
"07/22/2015","518.50","516.75","519.50","513.00","60.84K","0.53%"
"07/21/2015","515.75","512.25","520.75","510.75","49.79K","0.00%"
"07/20/2015","515.75","516.75","519.50","511.50","40.06K","-0.15%"
"07/17/2015","516.50","520.50","523.25","514.50","57.10K","-1.48%"
"07/16/2015","524.25","523.25","527.25","519.25","68.51K","-0.71%"
"07/15/2015","528.00","537.75","540.25","521.00","77.53K","-0.98%"
"07/14/2015","533.25","535.00","540.25","526.25","75.96K","-1.25%"
"07/13/2015","540.00","539.50","544.25","527.75","43.55K","1.03%"
"07/10/2015","534.50","536.75","545.50","532.75","76.85K","-0.65%"
"07/09/2015","538.00","530.25","543.50","529.75","114.27K","2.28%"
