"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2017","1.4123","1.4691","1.4720","1.4067","86.51K","-4.16%"
"05/03/2017","1.4736","1.4883","1.4889","1.4587","69.98K","0.38%"
"05/02/2017","1.4680","1.4861","1.5097","1.4618","75.99K","-1.33%"
"05/01/2017","1.4878","1.5062","1.5109","1.4766","57.45K","-1.08%"
"04/28/2017","1.5040","1.5162","1.5215","1.4924","6.05K","-0.21%"
"04/27/2017","1.5072","1.5284","1.5330","1.4909","18.16K","-1.92%"
"04/26/2017","1.5367","1.5405","1.5452","1.5254","25.22K","-0.55%"
"04/25/2017","1.5452","1.5400","1.5520","1.5287","34.49K","0.16%"
"04/24/2017","1.5427","1.5557","1.5705","1.5380","33.48K","-0.68%"
"04/21/2017","1.5533","1.5790","1.5865","1.5427","39.17K","-1.62%"
"04/20/2017","1.5789","1.5830","1.5942","1.5736","33.11K","-0.15%"
"04/19/2017","1.5813","1.6219","1.6316","1.5696","43.76K","-2.50%"
"04/18/2017","1.6219","1.6343","1.6384","1.6128","45.86K","-0.67%"
"04/17/2017","1.6329","1.6470","1.6505","1.6314","44.54K","-1.01%"
"04/13/2017","1.6495","1.6490","1.6583","1.6419","54.70K","-0.15%"
"04/12/2017","1.6520","1.6545","1.6661","1.6435","56.31K","0.08%"
"04/11/2017","1.6506","1.6508","1.6548","1.6330","66.32K","0.20%"
"04/10/2017","1.6473","1.6296","1.6505","1.6284","49.73K","1.16%"
"04/07/2017","1.6284","1.6120","1.6439","1.6067","57.23K","0.96%"
"04/06/2017","1.6129","1.5960","1.6175","1.5946","50.34K","0.59%"
"04/05/2017","1.6035","1.5982","1.6223","1.5927","62.97K","0.70%"
"04/04/2017","1.5923","1.5634","1.5985","1.5527","51.79K","1.85%"
"04/03/2017","1.5634","1.5729","1.5872","1.5605","55.04K","-0.65%"
"03/31/2017","1.5736","1.5620","1.5787","1.5512","51.60K","0.99%"
"03/30/2017","1.5582","1.5460","1.5627","1.5303","18.34K","1.02%"
"03/29/2017","1.5425","1.5216","1.5443","1.5192","18.30K","1.70%"
"03/28/2017","1.5167","1.5010","1.5369","1.4996","28.81K","0.95%"
"03/27/2017","1.5025","1.5028","1.5079","1.4763","26.49K","0.33%"
"03/24/2017","1.4976","1.4883","1.5071","1.4862","27.10K","0.50%"
"03/23/2017","1.4901","1.4997","1.5083","1.4880","26.23K","-0.45%"
"03/22/2017","1.4968","1.5025","1.5077","1.4758","30.11K","-0.43%"
"03/21/2017","1.5033","1.5150","1.5360","1.4972","34.24K","-0.71%"
"03/20/2017","1.5141","1.5117","1.5263","1.4926","35.68K","0.37%"
"03/17/2017","1.5085","1.5046","1.5168","1.4979","35.55K","0.28%"
"03/16/2017","1.5043","1.5133","1.5299","1.5006","49.86K","-0.54%"
"03/15/2017","1.5124","1.5118","1.5213","1.5016","48.28K","1.37%"
"03/14/2017","1.4919","1.5002","1.5126","1.4784","49.59K","-0.58%"
"03/13/2017","1.5006","1.5116","1.5165","1.4943","54.43K","-0.20%"
"03/10/2017","1.5036","1.5355","1.5459","1.5001","66.21K","-1.69%"
"03/09/2017","1.5295","1.5533","1.5714","1.5148","83.58K","-1.75%"
"03/08/2017","1.5567","1.6176","1.6247","1.5502","89.26K","-3.54%"
"03/07/2017","1.6139","1.6095","1.6384","1.6019","77.59K","0.59%"
"03/06/2017","1.6045","1.5916","1.6141","1.5796","57.53K","0.68%"
"03/03/2017","1.5936","1.5750","1.5965","1.5741","56.82K","0.92%"
"03/02/2017","1.5791","1.6267","1.6340","1.5780","89.49K","-2.77%"
"03/01/2017","1.6241","1.6399","1.6595","1.6221","71.16K","0.20%"
"02/28/2017","1.6208","1.6425","1.6434","1.5924","9.32K","-1.16%"
"02/27/2017","1.6399","1.6400","1.6651","1.6375","23.36K","-0.03%"
"02/24/2017","1.6404","1.6533","1.6548","1.6293","25.23K","-0.98%"
"02/23/2017","1.6567","1.6375","1.6819","1.6371","30.09K","1.66%"
"02/22/2017","1.6296","1.6432","1.6526","1.6068","39.71K","-0.79%"
"02/21/2017","1.6425","1.6417","1.6750","1.6365","40.84K","-0.12%"
"02/20/2017","1.6444","1.6376","1.6546","1.6361","","0.42%"
"02/19/2017","1.6375","1.6412","1.6421","1.6372","","0.07%"
"02/17/2017","1.6364","1.6270","1.6379","1.6110","42.98K","0.45%"
"02/16/2017","1.6291","1.6305","1.6485","1.6127","53.44K","-0.09%"
"02/15/2017","1.6305","1.6320","1.6467","1.6201","56.97K","-0.47%"
"02/14/2017","1.6382","1.6264","1.6559","1.6238","53.34K","0.67%"
"02/13/2017","1.6273","1.6661","1.6724","1.6189","69.23K","-2.32%"
"02/10/2017","1.6659","1.6402","1.6758","1.6380","56.34K","1.49%"
"02/09/2017","1.6415","1.6360","1.6624","1.6345","59.10K","0.34%"
"02/08/2017","1.6360","1.6124","1.6500","1.6028","67.09K","0.86%"
"02/07/2017","1.6221","1.6405","1.6414","1.6080","61.45K","-0.80%"
"02/06/2017","1.6352","1.6724","1.6798","1.6316","59.78K","-1.80%"
"02/03/2017","1.6651","1.6586","1.6746","1.6421","61.22K","0.81%"
"02/02/2017","1.6518","1.6709","1.6938","1.6491","63.84K","-1.33%"
"02/01/2017","1.6740","1.6307","1.6750","1.6247","75.09K","3.87%"
"01/31/2017","1.6117","1.6050","1.6428","1.6000","7.75K","0.31%"
